Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2019,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"444,016,000"
SURVEY,2019,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"405,454,000"
SURVEY,2019,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"38,562,000"
SURVEY,2019,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"402,894,000"
SURVEY,2019,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"367,273,000"
SURVEY,2019,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"35,621,000"
SURVEY,2019,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"440,054,000"
SURVEY,2019,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"400,937,000"
SURVEY,2019,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"39,117,000"
SURVEY,2019,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"440,477,000"
SURVEY,2019,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"399,729,000"
SURVEY,2019,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"40,748,000"
SURVEY,2019,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"459,485,000"
SURVEY,2019,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"418,280,000"
SURVEY,2019,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"41,205,000"
SURVEY,2019,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"456,431,000"
SURVEY,2019,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"415,763,000"
SURVEY,2019,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"40,668,000"
SURVEY,2019,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"450,782,000"
SURVEY,2019,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"407,328,000"
SURVEY,2019,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,454,000"
SURVEY,2019,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"454,633,000"
SURVEY,2019,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"410,749,000"
SURVEY,2019,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,884,000"
SURVEY,2018,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"5,553,172,000"
SURVEY,2018,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"5,051,182,000"
SURVEY,2018,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"501,990,000"
SURVEY,2018,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"476,129,000"
SURVEY,2018,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"431,474,000"
SURVEY,2018,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"44,655,000"
